word,label
กฎกระทรวง.mp4,0
กฎกระทรวง_0.mp4,0
กฎกระทรวง_1.mp4,0
กฎกระทรวง_2.mp4,0
กฎหมายรัฐธรรมนูญ.mp4,1
กฎหมายรัฐธรรมนูญ_0.mp4,1
กฎหมายรัฐธรรมนูญ_1.mp4,1
กฎหมายรัฐธรรมนูญ_2.mp4,1
กรมอนามัย.mp4,2
กรมอนามัย_0.mp4,2
กรมอนามัย_1.mp4,2
กรมอนามัย_2.mp4,2
กรรม.mp4,3
กรรม_0.mp4,3
กรรม_1.mp4,3
กรรม_2.mp4,3
กรรมสิทธิ์.mp4,4
กรรมสิทธิ์_0.mp4,4
กรรมสิทธิ์_1.mp4,4
กรรมสิทธิ์_2.mp4,4
กระโดด.mp4,5
กระโดด_0.mp4,5
กระโดด_1.mp4,5
กระโดด_2.mp4,5
กล้วยบวชชี.mp4,6
กล้วยบวชชี_0.mp4,6
กล้วยบวชชี_1.mp4,6
กล้วยบวชชี_2.mp4,6
กล้วยเชื่อม.mp4,7
กล้วยเชื่อม_0.mp4,7
กล้วยเชื่อม_1.mp4,7
กล้วยเชื่อม_2.mp4,7
กังวล.mp4,8
กังวล_0.mp4,8
กังวล_1.mp4,8
กังวล_2.mp4,8
กีฬา.mp4,9
กีฬา_0.mp4,9
กีฬา_1.mp4,9
กีฬา_2.mp4,9
น้อง.mp4,10
น้อง_0.mp4,10
น้อง_1.mp4,10
น้อง_2.mp4,10
เขิน.mp4,11
เขิน_0.mp4,11
เขิน_1.mp4,11
เขิน_2.mp4,11
เขื่อนดิน.mp4,12
เขื่อนดิน_0.mp4,12
เขื่อนดิน_1.mp4,12
เขื่อนดิน_2.mp4,12
เขื่อนสิริกิติ์.mp4,13
เขื่อนสิริกิติ์_0.mp4,13
เขื่อนสิริกิติ์_1.mp4,13
เขื่อนสิริกิติ์_2.mp4,13
เข้าใจผิด.mp4,14
เข้าใจผิด_0.mp4,14
เข้าใจผิด_1.mp4,14
เข้าใจผิด_2.mp4,14
เคย.mp4,15
เคย_0.mp4,15
เคย_1.mp4,15
เคย_2.mp4,15
เครียด.mp4,16
เครียด_0.mp4,16
เครียด_1.mp4,16
เครียด_2.mp4,16
เครื่องปั่นดิน.mp4,17
เครื่องปั่นดิน_0.mp4,17
เครื่องปั่นดิน_1.mp4,17
เครื่องปั่นดิน_2.mp4,17
เครื่องหมายการค้า.mp4,18
เครื่องหมายการค้า_0.mp4,18
เครื่องหมายการค้า_1.mp4,18
เครื่องหมายการค้า_2.mp4,18
เจอ.mp4,19
เจอ_0.mp4,19
เจอ_1.mp4,19
เจอ_2.mp4,19
เจ้าหนี้.mp4,20
เจ้าหนี้_0.mp4,20
เจ้าหนี้_1.mp4,20
เจ้าหนี้_2.mp4,20
เช่าซื้อ.mp4,21
เช่าซื้อ_0.mp4,21
เช่าซื้อ_1.mp4,21
เช่าซื้อ_2.mp4,21
เช่าทรัพย์.mp4,22
เช่าทรัพย์_0.mp4,22
เช่าทรัพย์_1.mp4,22
เช่าทรัพย์_2.mp4,22
เซอร์เบีย.mp4,23
เซอร์เบีย_0.mp4,23
เซอร์เบีย_1.mp4,23
เซอร์เบีย_2.mp4,23
เซเนกัล.mp4,24
เซเนกัล_0.mp4,24
เซเนกัล_1.mp4,24
เซเนกัล_2.mp4,24
เซ็ง.mp4,25
เซ็ง_0.mp4,25
เซ็ง_1.mp4,25
เซ็ง_2.mp4,25
เดิน.mp4,26
เดิน_0.mp4,26
เดิน_1.mp4,26
เดิน_2.mp4,26
เดิมพัน.mp4,27
เดิมพัน_0.mp4,27
เดิมพัน_1.mp4,27
เดิมพัน_2.mp4,27
เพลีย.mp4,28
เพลีย_0.mp4,28
เพลีย_1.mp4,28
เพลีย_2.mp4,28
เมื่อย.mp4,29
เมื่อย_0.mp4,29
เมื่อย_1.mp4,29
เมื่อย_2.mp4,29
เม็กซิโก.mp4,30
เม็กซิโก_0.mp4,30
เม็กซิโก_1.mp4,30
เม็กซิโก_2.mp4,30
เฮโรอีน.mp4,31
เฮโรอีน_0.mp4,31
เฮโรอีน_1.mp4,31
เฮโรอีน_2.mp4,31
แกมเบีย.mp4,32
แกมเบีย_0.mp4,32
แกมเบีย_1.mp4,32
แกมเบีย_2.mp4,32
แซมเบีย.mp4,33
แซมเบีย_0.mp4,33
แซมเบีย_1.mp4,33
แซมเบีย_2.mp4,33
โกหก.mp4,34
โกหก_0.mp4,34
โกหก_1.mp4,34
โกหก_2.mp4,34
โจทก์.mp4,35
โจทก์_0.mp4,35
โจทก์_1.mp4,35
โจทก์_2.mp4,35
โชจู.mp4,36
โชจู_0.mp4,36
โชจู_1.mp4,36
โชจู_2.mp4,36
ใกล้.mp4,37
ใกล้_0.mp4,37
ใกล้_1.mp4,37
ใกล้_2.mp4,37
ไดโนเสาร์.mp4,38
ไดโนเสาร์_0.mp4,38
ไดโนเสาร์_1.mp4,38
ไดโนเสาร์_2.mp4,38
ไอซ์.mp4,39
ไอซ์_0.mp4,39
ไอซ์_1.mp4,39
ไอซ์_2.mp4,39
